server_program,client_program,buffer_size,nb_sends,total_sent,total_received,total_elapsed_time_us,total_msg_time_us,avg_msg_time_us
server_copy_loop,copy_loop,65536,500,32768000,32768000,731832,731832,1463
server_copy_loop,copy_loop,65536,1000,65536000,65536000,1471880,1471880,1471
server_copy_loop,copy_loop,65536,2500,163840000,163840000,3680585,3680585,1472
server_copy_loop,copy_loop,65536,5000,327680000,327680000,7381885,7381885,1476
server_copy_loop,copy_loop,65536,10000,655360000,655360000,14737415,14737415,1473
server_copy_loop,copy_loop,65536,25000,1638400000,1638400000,36874546,36874546,1474
server_copy_loop,copy_loop,65536,50000,3276800000,3276800000,73653664,73653664,1473
server_copy_loop,copy_loop_pipeline,65536,500,32768000,32768000,295861,7710059,15420
server_copy_loop,copy_loop_pipeline,65536,1000,65536000,65536000,589070,17200165,17200
server_copy_loop,copy_loop_pipeline,65536,2500,163840000,163840000,1469307,42553213,17021
server_copy_loop,copy_loop_pipeline,65536,5000,327680000,327680000,2935984,85537231,17107
server_copy_loop,copy_loop_pipeline,65536,10000,655360000,655360000,5905204,240886555,24088
server_copy_loop,copy_loop_pipeline,65536,25000,1638400000,1638400000,14789578,1584590651,63383
server_copy_loop,copy_loop_pipeline,65536,50000,3276800000,3276800000,29373893,1336229600,26724
server_copy_loop_pipeline,copy_loop,65536,500,32768000,32768000,747077,747077,1494
server_copy_loop_pipeline,copy_loop,65536,1000,65536000,65536000,1487459,1487459,1487
server_copy_loop_pipeline,copy_loop,65536,2500,163840000,163840000,3702749,3702749,1481
server_copy_loop_pipeline,copy_loop,65536,5000,327680000,327680000,7390154,7390154,1478
server_copy_loop_pipeline,copy_loop,65536,10000,655360000,655360000,14767428,14767428,1476
server_copy_loop_pipeline,copy_loop,65536,25000,1638400000,1638400000,36554773,36554773,1462
server_copy_loop_pipeline,copy_loop,65536,50000,3276800000,3276800000,73772966,73772966,1475
server_copy_loop_pipeline,copy_loop_pipeline,65536,500,32768000,32768000,295627,7731358,15462
server_copy_loop_pipeline,copy_loop_pipeline,65536,1000,65536000,65536000,585557,16662359,16662
server_copy_loop_pipeline,copy_loop_pipeline,65536,2500,163840000,163840000,1468313,43450344,17380
server_copy_loop_pipeline,copy_loop_pipeline,65536,5000,327680000,327680000,2934269,88390990,17678
server_copy_loop_pipeline,copy_loop_pipeline,65536,10000,655360000,655360000,5870912,200594340,20059
server_copy_loop_pipeline,copy_loop_pipeline,65536,25000,1638400000,1638400000,14671356,453567708,18142
server_copy_loop_pipeline,copy_loop_pipeline,65536,50000,3276800000,3276800000,29325303,986489392,19729
