program,buffer_size,nb_sends,pool_size,total_sent,total_received,total_elapsed_time_us,avg_elapsed_time_us,min_elapsed_time_us,max_elapsed_time_us,total_notif,fallback_count
copy_loop,4096,500,0,2048000,2048000,224533,449,368,884,0,0
copy_loop,16384,500,0,8192000,8192000,328299,656,553,1142,0,0
copy_loop,65536,500,0,32768000,32768000,739766,1479,1419,2192,0,0
copy_loop,262144,500,0,131072000,131072000,2488146,4976,4826,5876,0,0
copy_loop,1048576,500,0,524288000,524288000,9442221,18884,18573,19730,0,0
copy_loop,4194304,500,0,2097152000,2097152000,37449389,74898,73740,283319,0,0
copy_loop,8388608,500,0,4194304000,4194304000,74351109,148702,147887,149603,0,0
copy_loop,16777216,500,0,8388608000,8388608000,160932200,321864,295625,508393,0,0
copy_loop,33554432,500,0,16777216000,16777216000,297148541,594297,590816,799156,0,0
zc_loop,4096,500,16,2048000,2048000,213303,426,364,857,500,0
zc_loop,16384,500,16,8192000,8192000,304896,609,528,1234,500,0
zc_loop,65536,500,16,32768000,32768000,738295,1476,1422,2093,500,0
zc_loop,262144,500,16,131072000,131072000,2489842,4979,4763,6747,500,0
zc_loop,1048576,500,16,524288000,524288000,9419431,18838,18501,19996,500,0
zc_loop,4194304,500,16,2097152000,2097152000,37453722,74907,73790,283276,500,0
zc_loop,8388608,500,16,4194304000,4194304000,74926545,149853,147853,191065,501,0
zc_loop,16777216,500,16,8388608000,8388608000,154563804,309127,296389,510447,1500,0
zc_loop,33554432,500,16,16777216000,16777216000,304102283,608204,594038,808553,3503,0
