server_program,client_program,buffer_size,nb_sends,pool_size,total_sent,total_received,total_elapsed_time_us,total_msg_time_us,avg_msg_time_us,total_notif,fallback_count
server_zc_loop,zc_loop,4096,500,16,2048000,2048000,204147,204147,408,500,0
server_zc_loop,zc_loop,16384,500,16,8192000,8192000,314314,314314,628,500,0
server_zc_loop,zc_loop,65536,500,16,32768000,32768000,734919,734919,1469,500,0
server_zc_loop,zc_loop,262144,500,16,131072000,131072000,2491607,2491607,4983,500,0
server_zc_loop,zc_loop,1048576,500,16,524288000,524288000,9416072,9416072,18832,500,0
server_zc_loop,zc_loop,4194304,500,16,2097152000,2097152000,37177015,37177015,74354,500,0
server_zc_loop,zc_loop,8388608,500,16,4194304000,4194304000,74831312,74831312,149662,501,0
server_zc_loop,zc_loop,16777216,500,16,8388608000,8388608000,160731492,160731492,321462,1500,0
server_zc_loop,zc_loop,33554432,500,16,16777216000,16777216000,303780312,303780312,607560,3500,0
server_zc_loop,zc_loop_pipeline,4096,500,16,2048000,2048000,30910,435543,871,61,0
server_zc_loop,zc_loop_pipeline,16384,500,16,8192000,8192000,88398,1003867,2007,59,0
server_zc_loop,zc_loop_pipeline,65536,500,16,32768000,32768000,297554,3887206,7774,65,0
server_zc_loop,zc_loop_pipeline,262144,500,16,131072000,131072000,1190883,11195759,22391,348,0
server_zc_loop,zc_loop_pipeline,1048576,500,16,524288000,524288000,4692536,17730179,35460,1123,0
server_zc_loop,zc_loop_pipeline,4194304,500,16,2097152000,2097152000,18723795,47113230,94226,1906,0
server_zc_loop,zc_loop_pipeline,8388608,500,16,4194304000,4194304000,39405533,85704545,171409,2330,0
server_zc_loop,zc_loop_pipeline,16777216,500,16,8388608000,8388608000,118509645,202189023,404378,3737,0
server_zc_loop,zc_loop_pipeline,33554432,500,16,16777216000,16777216000,285874425,457025734,914051,6253,0
server_zc_loop_pipeline,zc_loop,4096,500,16,2048000,2048000,225384,225384,450,500,0
server_zc_loop_pipeline,zc_loop,16384,500,16,8192000,8192000,311674,311674,623,500,0
server_zc_loop_pipeline,zc_loop,65536,500,16,32768000,32768000,740855,740855,1481,500,0
server_zc_loop_pipeline,zc_loop,262144,500,16,131072000,131072000,2486140,2486140,4972,500,0
server_zc_loop_pipeline,zc_loop,1048576,500,16,524288000,524288000,9423440,9423440,18846,500,0
server_zc_loop_pipeline,zc_loop,4194304,500,16,2097152000,2097152000,37145738,37145738,74291,500,0
server_zc_loop_pipeline,zc_loop,8388608,500,16,4194304000,4194304000,74786465,74786465,149572,502,0
server_zc_loop_pipeline,zc_loop,16777216,500,16,8388608000,8388608000,158658390,158658390,317316,1500,0
server_zc_loop_pipeline,zc_loop,33554432,500,16,16777216000,16777216000,300344487,300344487,600688,3500,0
server_zc_loop_pipeline,zc_loop_pipeline,4096,500,16,2048000,2048000,32217,517940,1035,63,0
server_zc_loop_pipeline,zc_loop_pipeline,16384,500,16,8192000,8192000,108607,3264383,6528,61,0
server_zc_loop_pipeline,zc_loop_pipeline,65536,500,16,32768000,32768000,297412,3843619,7687,66,0
server_zc_loop_pipeline,zc_loop_pipeline,262144,500,16,131072000,131072000,1186884,10169198,20338,349,0
server_zc_loop_pipeline,zc_loop_pipeline,1048576,500,16,524288000,524288000,4705990,17899382,35798,1105,0
server_zc_loop_pipeline,zc_loop_pipeline,4194304,500,16,2097152000,2097152000,18660110,46991348,93982,2017,0
server_zc_loop_pipeline,zc_loop_pipeline,8388608,500,16,4194304000,4194304000,39315154,84804126,169608,2694,0
server_zc_loop_pipeline,zc_loop_pipeline,16777216,500,16,8388608000,8388608000,79254740,163602528,327205,4054,0
server_zc_loop_pipeline,zc_loop_pipeline,33554432,500,16,16777216000,16777216000,160724579,362650324,725300,6246,0
